日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,モーター2連対率,着順
2026-05-04,戸田,第1R,5号艇,5087 / A2 佐藤 航 埼玉/埼玉 26歳/53.2kg,30.63,46.25,53.2,-
2026-05-04,戸田,第1R,3号艇,5042 / A1 畑田 汰一 埼玉/東京 27歳/52.0kg,32.90,45.81,52.0,-
2026-05-04,戸田,第1R,2号艇,5259 / B1 野田 昇吾 埼玉/福岡 32歳/56.6kg,35.90,53.21,56.6,-
2026-05-04,戸田,第2R,5号艇,4191 / A2 赤羽 克也 埼玉/埼玉 44歳/55.0kg,31.21,50.96,55.0,-
2026-05-04,戸田,第2R,6号艇,3503 / B1 堂原 洋史 埼玉/千葉 56歳/52.0kg,35.71,50.65,52.0,-
2026-05-04,戸田,第2R,2号艇,4573 / A1 佐藤 翼 埼玉/埼玉 37歳/52.2kg,31.37,50.98,52.2,-
2026-05-04,戸田,第3R,2号艇,5360 / B1 高木 茉白 埼玉/埼玉 19歳/47.2kg,41.10,60.12,47.2,-
2026-05-04,戸田,第3R,6号艇,4700 / A2 金子 和之 埼玉/新潟 39歳/52.0kg,35.62,49.32,52.0,-
2026-05-04,戸田,第3R,4号艇,4144 / A2 石塚 久也 埼玉/埼玉 44歳/52.0kg,36.48,54.09,52.0,-
2026-05-04,戸田,第3R,3号艇,5287 / B1 滝沢 織寧 埼玉/埼玉 26歳/47.0kg,32.05,45.51,47.0,-
2026-05-04,戸田,第4R,6号艇,5045 / A2 平川 香織 埼玉/東京 25歳/46.5kg,33.33,49.06,46.5,-
2026-05-04,戸田,第4R,1号艇,4547 / A1 中田 竜太 埼玉/福島 38歳/52.0kg,40.38,53.21,52.0,-
2026-05-04,戸田,第4R,2号艇,5005 / B1 石田 貴洋 埼玉/埼玉 29歳/52.1kg,34.84,49.03,52.1,-
2026-05-04,戸田,第4R,4号艇,3880 / B1 浅見 宗孝 埼玉/埼玉 53歳/55.5kg,38.13,54.38,55.5,-
2026-05-04,戸田,第5R,5号艇,3306 / B1 武田 正紀 埼玉/東京 58歳/54.1kg,33.55,51.32,54.1,-
2026-05-04,戸田,第5R,1号艇,5259 / B1 野田 昇吾 埼玉/福岡 32歳/56.6kg,35.90,53.21,56.6,-
2026-05-04,戸田,第5R,2号艇,5112 / A1 砂長 知輝 埼玉/埼玉 26歳/52.1kg,30.82,42.14,52.1,-
2026-05-04,戸田,第5R,4号艇,5454 / B2 谷島 咲希 埼玉/埼玉 19歳/47.0kg,42.68,61.15,47.0,-
2026-05-04,戸田,第6R,6号艇,4738 / A2 清埜 翔子 埼玉/埼玉 34歳/47.0kg,32.92,57.76,47.0,-
2026-05-04,戸田,第6R,2号艇,4444 / A1 桐生 順平 埼玉/福島 39歳/52.0kg,39.24,57.59,52.0,-
2026-05-04,戸田,第6R,4号艇,4432 / B1 黄金井 力良 埼玉/埼玉 40歳/53.5kg,33.12,49.35,53.5,-
2026-05-04,戸田,第6R,5号艇,5220 / A1 青木 蓮 埼玉/埼玉 25歳/52.0kg,47.26,66.44,52.0,-
2026-05-04,戸田,第7R,5号艇,3596 / B1 河上 年昭 埼玉/岡山 56歳/52.2kg,40.38,59.62,52.2,-
2026-05-04,戸田,第7R,1号艇,5360 / B1 高木 茉白 埼玉/埼玉 19歳/47.2kg,41.10,60.12,47.2,-
2026-05-04,戸田,第7R,6号艇,3647 / B1 伊藤 雄二 埼玉/埼玉 53歳/50.5kg,38.04,60.12,50.5,-
2026-05-04,戸田,第7R,3号艇,5327 / B2 西田 和加 埼玉/埼玉 22歳/47.4kg,36.13,56.77,47.4,-
2026-05-04,戸田,第7R,4号艇,4836 / B2 大谷 健太 埼玉/埼玉 37歳/52.0kg,42.58,54.84,52.0,-
2026-05-04,戸田,第8R,3号艇,5005 / B1 石田 貴洋 埼玉/埼玉 29歳/52.0kg,34.84,49.03,52.0,-
2026-05-04,戸田,第8R,1号艇,5132 / A1 中野 希一 埼玉/埼玉 27歳/52.1kg,29.81,47.20,52.1,-
