日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,モーター2連対率,着順
2026-05-01,桐生,第7R,3号艇,5108 / B2 柴田 愛梨 群馬/群馬 27歳/47.5kg,39.80,57.14,47.5,-
2026-05-01,桐生,第8R,2号艇,3947 / B1 寺本 昇平 群馬/神奈川 50歳/50.0kg,36.84,51.58,50.0,-
2026-05-01,桐生,第8R,6号艇,4851 / A1 関 浩哉 群馬/群馬 31歳/48.5kg,30.43,47.83,48.5,-
2026-05-01,桐生,第9R,5号艇,3740 / A1 大澤 普司 群馬/群馬 51歳/53.2kg,26.80,43.30,53.2,-
2026-05-01,桐生,第9R,1号艇,5150 / A2 坂本 雄紀 群馬/群馬 31歳/52.0kg,46.74,60.87,52.0,-
2026-05-01,桐生,第9R,4号艇,3679 / A1 飯島 昌弘 埼玉/埼玉 53歳/52.0kg,27.37,51.58,52.0,-
2026-05-01,桐生,第10R,4号艇,4539 / A1 金子 賢志 群馬/群馬 35歳/52.1kg,35.35,50.51,52.1,-
2026-05-01,桐生,第10R,1号艇,4491 / B1 田中 堅 群馬/群馬 39歳/51.0kg,37.62,55.45,51.0,-
2026-05-01,桐生,第10R,2号艇,4645 / A1 上村 純一 群馬/千葉 45歳/52.2kg,29.47,46.32,52.2,-
2026-05-01,桐生,第11R,3号艇,4305 / A1 金子 拓矢 群馬/栃木 42歳/52.0kg,29.41,47.06,52.0,-
2026-05-01,桐生,第11R,4号艇,4486 / B1 野村 誠 群馬/群馬 39歳/51.5kg,35.35,53.54,51.5,-
2026-05-01,桐生,第11R,1号艇,5216 / A2 長谷川 晴哉 群馬/群馬 26歳/52.0kg,31.31,41.41,52.0,-
2026-05-01,桐生,第12R,5号艇,4188 / A1 久田 敏之 群馬/群馬 45歳/52.0kg,30.30,42.42,52.0,-
2026-05-01,桐生,第12R,1号艇,4787 / A1 椎名 豊 群馬/群馬 37歳/52.0kg,38.78,53.06,52.0,-
2026-05-01,桐生,第12R,3号艇,4238 / B2 毒島 誠 群馬/群馬 42歳/52.4kg,43.75,63.54,52.4,-
2026-05-01,戸田,第7R,2号艇,3880 / B1 浅見 宗孝 埼玉/埼玉 53歳/55.4kg,38.13,54.38,55.4,-
2026-05-01,戸田,第8R,3号艇,4547 / A1 中田 竜太 埼玉/福島 38歳/52.0kg,40.38,53.21,52.0,-
2026-05-01,戸田,第8R,4号艇,5327 / B2 西田 和加 埼玉/埼玉 22歳/47.6kg,36.13,56.77,47.6,-
