日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,モーター2連対率,着順
2026-05-02,桐生,第1R,3号艇,5283 / B1 植木 美帆 東京/東京 22歳/47.0kg,36.00,51.00,47.0,-
2026-05-02,桐生,第1R,6号艇,3482 / A2 金子 猛志 群馬/群馬 55歳/56.3kg,41.05,54.74,56.3,-
2026-05-02,桐生,第1R,5号艇,5377 / B1 鳥居塚 嶺王 群馬/群馬 22歳/50.0kg,41.41,51.52,50.0,-
2026-05-02,桐生,第1R,1号艇,4539 / A1 金子 賢志 群馬/群馬 35歳/52.0kg,35.35,50.51,52.0,-
2026-05-02,桐生,第2R,2号艇,5100 / B1 栗原 一馬 群馬/群馬 29歳/54.8kg,36.73,62.24,54.8,-
2026-05-02,桐生,第2R,6号艇,4819 / A2 蜂須 瑞生 群馬/群馬 34歳/47.0kg,34.74,49.47,47.0,-
2026-05-02,桐生,第2R,4号艇,3655 / A2 本橋 克洋 群馬/群馬 52歳/53.3kg,30.00,46.00,53.3,-
2026-05-02,桐生,第2R,3号艇,5361 / B2 植竹 玲奈 東京/神奈川 19歳/49.1kg,46.08,58.82,49.1,-
2026-05-02,桐生,第3R,4号艇,5216 / A2 長谷川 晴哉 群馬/群馬 26歳/52.3kg,31.31,41.41,52.3,-
2026-05-02,桐生,第3R,5号艇,5234 / A2 塚越 海斗 群馬/群馬 27歳/52.2kg,35.42,55.21,52.2,-
2026-05-02,桐生,第3R,1号艇,4987 / B1 島倉 都 群馬/新潟 29歳/49.0kg,34.41,50.54,49.0,-
2026-05-02,桐生,第4R,2号艇,4645 / A1 上村 純一 群馬/千葉 45歳/52.0kg,29.47,46.32,52.0,-
2026-05-02,桐生,第4R,4号艇,3406 / A2 中里 英夫 群馬/栃木 57歳/52.8kg,40.00,57.00,52.8,-
2026-05-02,桐生,第4R,5号艇,5320 / B1 岩崎 麗子 群馬/群馬 24歳/47.8kg,36.36,56.57,47.8,-
2026-05-02,桐生,第5R,6号艇,3475 / B1 橋本 久和 群馬/群馬 55歳/52.0kg,32.63,57.89,52.0,-
2026-05-02,桐生,第5R,5号艇,4238 / B2 毒島 誠 群馬/群馬 42歳/52.0kg,43.75,63.54,52.0,-
2026-05-02,桐生,第5R,2号艇,4809 / A2 外崎 悟 埼玉/埼玉 37歳/52.0kg,32.67,44.55,52.0,-
2026-05-02,桐生,第5R,4号艇,4305 / A1 金子 拓矢 群馬/栃木 42歳/52.0kg,29.41,47.06,52.0,-
2026-05-02,桐生,第6R,6号艇,4887 / B1 富澤 祐作 群馬/群馬 39歳/53.4kg,36.00,57.00,53.4,-
2026-05-02,桐生,第6R,5号艇,3827 / B1 今泉 徹 群馬/群馬 52歳/52.0kg,39.18,55.67,52.0,-
2026-05-02,桐生,第6R,3号艇,3889 / B1 須藤 隆雄 群馬/栃木 51歳/53.6kg,33.66,52.48,53.6,-
2026-05-02,桐生,第7R,3号艇,3973 / B1 崎 利仁 群馬/栃木 49歳/52.1kg,44.09,58.06,52.1,-
2026-05-02,桐生,第7R,4号艇,4539 / A1 金子 賢志 群馬/群馬 35歳/52.0kg,35.35,50.51,52.0,-
2026-05-02,桐生,第7R,2号艇,4128 / B1 川口 貴久 東京/東京 46歳/54.7kg,32.26,49.46,54.7,-
2026-05-02,桐生,第7R,6号艇,4486 / B1 野村 誠 群馬/群馬 39歳/52.0kg,35.35,53.54,52.0,-
2026-05-02,桐生,第8R,4号艇,4888 / B1 金児 隆太 群馬/長野 38歳/52.0kg,42.86,60.20,52.0,-
2026-05-02,桐生,第8R,5号艇,5100 / B1 栗原 一馬 群馬/群馬 29歳/54.8kg,36.73,62.24,54.8,-
