日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,モーター2連対率,着順
2026-05-05,浜名湖,第1R,2号艇,3956 / A1 横澤 剛治 静岡/静岡 48歳/54.0kg,31.82,50.76,54.0,-
2026-05-05,浜名湖,第1R,6号艇,3796 / B1 長野 道臣 静岡/静岡 52歳/53.9kg,43.08,58.46,53.9,-
2026-05-05,浜名湖,第1R,1号艇,5434 / B2 藤田 康生 静岡/静岡 21歳/51.5kg,31.65,50.36,51.5,-
2026-05-05,浜名湖,第1R,3号艇,4076 / A2 杉田 篤光 静岡/静岡 47歳/52.4kg,40.71,51.43,52.4,-
2026-05-05,浜名湖,第2R,6号艇,4933 / A1 板橋 侑我 静岡/静岡 29歳/52.3kg,39.57,58.27,52.3,-
2026-05-05,浜名湖,第2R,1号艇,3990 / B1 芹澤 克彦 静岡/静岡 47歳/52.6kg,39.55,59.70,52.6,-
2026-05-05,浜名湖,第2R,4号艇,4124 / A1 池田 雄一 静岡/静岡 44歳/52.0kg,33.86,55.12,52.0,-
2026-05-05,浜名湖,第2R,5号艇,4131 / A2 原 豊土 静岡/愛知 45歳/55.0kg,44.53,56.93,55.0,-
2026-05-05,浜名湖,第2R,2号艇,3563 / B1 堤 昇 静岡/静岡 56歳/52.3kg,44.44,62.96,52.3,-
2026-05-05,浜名湖,第3R,6号艇,3995 / A1 重野 哲之 静岡/静岡 47歳/53.2kg,33.09,47.79,53.2,-
2026-05-05,浜名湖,第3R,4号艇,4360 / B1 庄司 孝輔 静岡/静岡 41歳/52.6kg,39.37,55.12,52.6,-
2026-05-05,浜名湖,第3R,2号艇,5034 / A1 若林 義人 静岡/静岡 28歳/54.7kg,38.85,54.68,54.7,-
2026-05-05,浜名湖,第4R,3号艇,5294 / B1 豊田 祥生 静岡/静岡 24歳/50.5kg,35.20,52.80,50.5,-
2026-05-05,浜名湖,第4R,4号艇,3987 / B1 後藤 正宗 静岡/静岡 48歳/53.0kg,35.07,51.49,53.0,-
2026-05-05,浜名湖,第4R,5号艇,3156 / B1 金子 良昭 静岡/静岡 61歳/52.5kg,31.39,45.99,52.5,-
2026-05-05,浜名湖,第4R,2号艇,4840 / B1 鈴木 秀茉 静岡/静岡 34歳/52.0kg,34.53,50.36,52.0,-
2026-05-05,浜名湖,第5R,3号艇,4342 / A1 谷野 錬志 静岡/静岡 41歳/52.0kg,38.73,61.97,52.0,-
2026-05-05,浜名湖,第5R,5号艇,4740 / B1 齋藤 達希 静岡/静岡 34歳/53.1kg,37.86,48.57,53.1,-
2026-05-05,浜名湖,第5R,1号艇,5362 / B2 中嶋 世奈 静岡/北海道 19歳/48.0kg,28.93,43.80,48.0,-
2026-05-05,浜名湖,第5R,6号艇,3744 / A1 徳増 秀樹 静岡/静岡 51歳/52.9kg,29.77,47.33,52.9,-
2026-05-05,浜名湖,第6R,2号艇,4058 / A2 野末 智一 静岡/静岡 47歳/51.5kg,36.88,46.10,51.5,-
2026-05-05,浜名湖,第6R,3号艇,3909 / A1 佐々木 康幸 静岡/静岡 52歳/54.3kg,39.72,56.74,54.3,-
2026-05-05,浜名湖,第6R,1号艇,4417 / B1 服部 剛 静岡/静岡 39歳/51.5kg,33.83,46.62,51.5,-
2026-05-05,浜名湖,第6R,5号艇,3502 / B1 渡邉 英児 静岡/静岡 56歳/52.1kg,28.91,54.69,52.1,-
2026-05-05,浜名湖,第7R,5号艇,3563 / B1 堤 昇 静岡/静岡 56歳/52.5kg,44.44,62.96,52.5,-
2026-05-05,浜名湖,第7R,3号艇,4033 / A1 伊藤 将吉 静岡/静岡 47歳/52.9kg,28.68,48.06,52.9,-
2026-05-05,浜名湖,第7R,2号艇,4494 / A1 河合 佑樹 静岡/静岡 39歳/52.0kg,38.52,56.30,52.0,-
2026-05-05,浜名湖,第7R,6号艇,5248 / B1 本田 愛 静岡/静岡 24歳/47.4kg,35.56,46.67,47.4,-
2026-05-05,浜名湖,第8R,2号艇,4840 / B1 鈴木 秀茉 静岡/静岡 34歳/52.0kg,34.53,50.36,52.0,-
2026-05-05,浜名湖,第8R,5号艇,4843 / B2 深尾 巴恵 静岡/群馬 33歳/47.0kg,39.10,59.40,47.0,-
2026-05-05,浜名湖,第8R,1号艇,3422 / A1 服部 幸男 静岡/静岡 55歳/54.2kg,34.65,55.91,54.2,-
2026-05-05,浜名湖,第8R,4号艇,3990 / B1 芹澤 克彦 静岡/静岡 47歳/52.6kg,39.55,59.70,52.6,-
2026-05-05,浜名湖,第9R,4号艇,3960 / A1 菊地 孝平 静岡/岩手 47歳/51.5kg,38.46,50.00,51.5,-
2026-05-05,浜名湖,第9R,5号艇,4068 / B1 幸田 智裕 静岡/静岡 45歳/52.7kg,31.85,46.67,52.7,-
2026-05-05,浜名湖,第9R,6号艇,4076 / A2 杉田 篤光 静岡/静岡 47歳/52.4kg,40.71,51.43,52.4,-
2026-05-05,浜名湖,第10R,4号艇,3796 / B1 長野 道臣 静岡/静岡 52歳/53.9kg,43.08,58.46,53.9,-
2026-05-05,浜名湖,第10R,1号艇,4524 / A1 深谷 知博 静岡/静岡 38歳/52.0kg,29.71,42.75,52.0,-
2026-05-05,浜名湖,第10R,5号艇,4131 / A2 原 豊土 静岡/愛知 45歳/55.0kg,44.53,56.93,55.0,-
2026-05-05,浜名湖,第10R,2号艇,3744 / A1 徳増 秀樹 静岡/静岡 51歳/52.9kg,29.77,47.33,52.9,-
2026-05-05,浜名湖,第11R,6号艇,4207 / A2 松下 一也 静岡/静岡 43歳/52.9kg,38.06,54.48,52.9,-
2026-05-05,浜名湖,第11R,3号艇,4216 / B1 星 栄爾 静岡/福島 41歳/53.9kg,27.27,46.97,53.9,-
2026-05-05,浜名湖,第12R,4号艇,5316 / B1 村松 将平 静岡/静岡 25歳/52.0kg,38.73,59.15,52.0,-
2026-05-05,浜名湖,第12R,1号艇,4342 / A1 谷野 錬志 静岡/静岡 41歳/52.0kg,38.73,61.97,52.0,-
2026-05-05,浜名湖,第12R,5号艇,5248 / B1 本田 愛 静岡/静岡 24歳/47.4kg,35.56,46.67,47.4,-
2026-05-05,浜名湖,第12R,3号艇,4933 / A1 板橋 侑我 静岡/静岡 29歳/52.3kg,39.57,58.27,52.3,-
2026-05-05,蒲郡,第1R,1号艇,5061 / B1 中村 駿平 愛知/愛知 28歳/52.0kg,33.14,48.84,52.0,-
2026-05-05,蒲郡,第1R,3号艇,3327 / A2 野長瀬 正孝 静岡/静岡 58歳/52.0kg,31.41,44.50,52.0,-
2026-05-05,蒲郡,第1R,4号艇,5039 / A2 倉田 茂将 愛知/愛知 27歳/56.4kg,42.02,60.64,56.4,-
2026-05-05,蒲郡,第1R,5号艇,4483 / A1 北野 輝季 愛知/愛知 37歳/52.4kg,38.29,53.14,52.4,-
2026-05-05,蒲郡,第2R,1号艇,3988 / A2 古川 誠之 愛知/愛知 47歳/53.0kg,34.48,52.87,53.0,-
2026-05-05,蒲郡,第2R,5号艇,3776 / B1 横井 健太 愛知/愛知 50歳/57.0kg,35.04,50.36,57.0,-
2026-05-05,蒲郡,第2R,6号艇,4914 / A1 吉田 裕平 愛知/愛知 29歳/52.0kg,37.28,58.58,52.0,-
2026-05-05,蒲郡,第2R,4号艇,3642 / B1 大塚 浩二 静岡/静岡 54歳/52.2kg,32.53,53.01,52.2,-
2026-05-05,蒲郡,第2R,2号艇,4306 / A2 畔柳 俊吾 愛知/愛知 42歳/52.0kg,30.82,51.57,52.0,-
2026-05-05,蒲郡,第3R,1号艇,4409 / A2 坂元 浩仁 愛知/愛知 40歳/53.9kg,33.33,52.29,53.9,-
2026-05-05,蒲郡,第3R,3号艇,3945 / B1 橋口 真樹 愛知/愛知 50歳/52.0kg,33.96,55.35,52.0,-
2026-05-05,蒲郡,第3R,4号艇,4786 / A1 佐藤 博亮 愛知/愛知 38歳/52.1kg,41.95,59.20,52.1,-
2026-05-05,蒲郡,第3R,5号艇,5441 / B2 鈴木 雄登 愛知/愛知 20歳/50.0kg,37.74,53.46,50.0,-
2026-05-05,蒲郡,第4R,3号艇,4681 / B1 太田 潮 愛知/愛知 35歳/52.0kg,39.20,56.25,52.0,-
2026-05-05,蒲郡,第4R,1号艇,4084 / A1 杉山 正樹 愛知/愛知 46歳/52.3kg,39.77,60.23,52.3,-
2026-05-05,蒲郡,第4R,2号艇,4442 / B1 松竹 大輔 愛知/愛知 39歳/52.0kg,38.30,54.61,52.0,-
2026-05-05,蒲郡,第4R,6号艇,4989 / A2 石原 翼 静岡/静岡 28歳/52.0kg,45.51,61.80,52.0,-
2026-05-05,蒲郡,第5R,1号艇,5137 / B1 川原 涼 愛知/愛知 26歳/53.7kg,34.94,52.41,53.7,-
2026-05-05,蒲郡,第5R,3号艇,4074 / A1 柳沢 一 愛知/愛知 45歳/52.0kg,36.67,52.22,52.0,-
2026-05-05,蒲郡,第5R,6号艇,5068 / A1 前田 滉 愛知/愛知 26歳/51.5kg,36.13,52.36,51.5,-
2026-05-05,蒲郡,第5R,2号艇,5082 / B1 一色 凌雅 愛知/愛知 27歳/57.4kg,33.33,48.43,57.4,-
2026-05-05,蒲郡,第6R,4号艇,5127 / B1 沼田 大都 愛知/広島 29歳/51.5kg,35.71,49.29,51.5,-
2026-05-05,蒲郡,第6R,1号艇,4910 / A1 中村 泰平 愛知/愛知 30歳/51.5kg,28.22,45.40,51.5,-
2026-05-05,蒲郡,第6R,2号艇,4516 / A2 野口 勝弘 愛知/愛知 39歳/50.0kg,30.43,48.91,50.0,-
2026-05-05,蒲郡,第6R,3号艇,3718 / B1 伊達 正利 静岡/静岡 51歳/54.7kg,36.47,54.71,54.7,-
2026-05-05,蒲郡,第6R,6号艇,5262 / B1 鈴木 章司 愛知/愛知 28歳/52.9kg,38.86,58.55,52.9,-
2026-05-05,蒲郡,第7R,3号艇,3839 / B1 川合 理司 静岡/静岡 50歳/62.6kg,37.30,57.84,62.6,-
2026-05-05,蒲郡,第7R,4号艇,3941 / A1 池田 浩二 愛知/愛知 48歳/52.0kg,35.23,47.67,52.0,-
2026-05-05,蒲郡,第7R,2号艇,4306 / A2 畔柳 俊吾 愛知/愛知 42歳/52.0kg,30.82,51.57,52.0,-
2026-05-05,蒲郡,第7R,5号艇,3967 / B1 鈴木 茂高 愛知/愛知 46歳/57.3kg,40.88,61.33,57.3,-
2026-05-05,蒲郡,第8R,5号艇,5318 / B1 河内 一馬 愛知/愛知 25歳/53.3kg,32.69,44.23,53.3,-
2026-05-05,蒲郡,第8R,6号艇,4989 / A2 石原 翼 静岡/静岡 28歳/52.0kg,45.51,61.80,52.0,-
2026-05-05,蒲郡,第8R,2号艇,4229 / B1 市川 美宏 静岡/静岡 43歳/52.7kg,34.44,50.56,52.7,-
2026-05-05,蒲郡,第8R,4号艇,3713 / A2 伊藤 誠二 愛知/愛知 51歳/52.8kg,32.03,43.79,52.8,-
2026-05-05,蒲郡,第9R,4号艇,4604 / A1 岩瀬 裕亮 愛知/愛知 37歳/52.0kg,33.71,54.29,52.0,-
2026-05-05,蒲郡,第9R,3号艇,4409 / A2 坂元 浩仁 愛知/愛知 40歳/53.9kg,33.33,52.29,53.9,-
