日付,場,レース,枠番,選手情報,当地勝率,当地2連対率,モーター2連対率,着順
2026-05-03,平和島,第6R,1号艇,4113 / B1 木村 浩士 群馬/群馬 45歳/55.7kg,42.35,60.00,55.7,-
2026-05-03,平和島,第7R,4号艇,3826 / A2 村田 修次 東京/東京 52歳/52.0kg,34.29,54.29,52.0,-
2026-05-03,平和島,第8R,3号艇,4211 / B1 村田 敦 東京/神奈川 42歳/60.5kg,39.36,60.11,60.5,-
2026-05-03,平和島,第8R,4号艇,4414 / B1 大澤 真菜 東京/埼玉 39歳/45.5kg,36.31,51.96,45.5,-
2026-05-03,平和島,第8R,2号艇,3590 / A1 濱野谷 憲吾 東京/東京 52歳/54.8kg,38.55,52.51,54.8,-
2026-05-03,平和島,第9R,6号艇,5153 / B1 佐藤 ほのか 東京/東京 30歳/47.2kg,45.98,58.05,47.2,-
2026-05-03,平和島,第10R,2号艇,4953 / A1 尾上 雅也 埼玉/埼玉 31歳/52.0kg,42.48,54.90,52.0,-
2026-05-03,平和島,第10R,4号艇,4893 / B1 渡邉 真奈美 東京/千葉 35歳/47.0kg,35.29,53.48,47.0,-
2026-05-03,平和島,第10R,5号艇,4274 / B1 長畑 友輔 東京/東京 43歳/51.5kg,36.78,54.02,51.5,-
2026-05-03,平和島,第11R,5号艇,3826 / A2 村田 修次 東京/東京 52歳/52.0kg,34.29,54.29,52.0,-
2026-05-03,平和島,第11R,3号艇,4505 / A2 島田 賢人 埼玉/埼玉 38歳/53.4kg,44.85,61.86,53.4,-
2026-05-03,平和島,第11R,4号艇,3505 / B1 山田 竜一 東京/東京 55歳/53.3kg,41.53,57.92,53.3,-
2026-05-03,平和島,第11R,2号艇,4059 / A2 入澤 友治 東京/東京 47歳/53.3kg,36.36,54.55,53.3,-
2026-05-03,平和島,第12R,4号艇,3613 / A1 角谷 健吾 東京/東京 53歳/51.0kg,32.77,50.28,51.0,-
2026-05-03,平和島,第12R,6号艇,4939 / A1 宮之原 輝紀 東京/東京 28歳/52.0kg,38.55,53.07,52.0,-
2026-05-03,平和島,第12R,1号艇,4702 / A1 三浦 敬太 東京/北海道 38歳/52.1kg,30.39,44.20,52.1,-
2026-05-03,平和島,第12R,3号艇,3978 / A1 齊藤 仁 東京/東京 48歳/50.5kg,36.08,58.25,50.5,-
2026-05-03,浜名湖,第5R,1号艇,4076 / A2 杉田 篤光 静岡/静岡 47歳/52.4kg,40.71,51.43,52.4,-
2026-05-03,浜名湖,第6R,6号艇,3959 / A1 坪井 康晴 静岡/静岡 48歳/52.3kg,40.58,63.04,52.3,-
2026-05-03,浜名湖,第7R,3号艇,4131 / A2 原 豊土 静岡/愛知 45歳/55.0kg,44.53,56.93,55.0,-
2026-05-03,浜名湖,第7R,2号艇,4840 / B1 鈴木 秀茉 静岡/静岡 34歳/52.0kg,34.53,50.36,52.0,-
2026-05-03,浜名湖,第8R,2号艇,3156 / B1 金子 良昭 静岡/静岡 61歳/53.7kg,31.39,45.99,53.7,-
2026-05-03,浜名湖,第8R,5号艇,3960 / A1 菊地 孝平 静岡/岩手 47歳/53.4kg,38.46,50.00,53.4,-
2026-05-03,浜名湖,第8R,1号艇,4216 / B1 星 栄爾 静岡/福島 41歳/54.8kg,34.59,51.13,54.8,-
2026-05-03,浜名湖,第9R,6号艇,3995 / A1 重野 哲之 静岡/静岡 47歳/54.5kg,33.09,47.79,54.5,-
2026-05-03,浜名湖,第9R,4号艇,4933 / A1 板橋 侑我 静岡/静岡 29歳/52.5kg,39.57,58.27,52.5,-
2026-05-03,浜名湖,第9R,1号艇,4740 / B1 齋藤 達希 静岡/静岡 34歳/52.8kg,37.86,48.57,52.8,-
2026-05-03,浜名湖,第10R,4号艇,4207 / A2 松下 一也 静岡/静岡 43歳/52.5kg,38.06,54.48,52.5,-
2026-05-03,浜名湖,第10R,6号艇,3518 / B1 倉田 郁美 静岡/愛知 58歳/48.6kg,28.68,40.31,48.6,-
2026-05-03,浜名湖,第10R,2号艇,3959 / A1 坪井 康晴 静岡/静岡 48歳/52.3kg,40.58,63.04,52.3,-
2026-05-03,浜名湖,第11R,5号艇,4124 / A1 池田 雄一 静岡/静岡 44歳/52.3kg,33.86,55.12,52.3,-
2026-05-03,浜名湖,第11R,3号艇,4524 / A1 深谷 知博 静岡/静岡 38歳/52.0kg,29.71,42.75,52.0,-
2026-05-03,浜名湖,第12R,4号艇,4494 / A1 河合 佑樹 静岡/静岡 39歳/52.0kg,38.52,56.30,52.0,-
2026-05-03,浜名湖,第12R,6号艇,3422 / A1 服部 幸男 静岡/静岡 55歳/54.9kg,34.65,55.91,54.9,-
2026-05-03,浜名湖,第12R,2号艇,3956 / A1 横澤 剛治 静岡/静岡 48歳/54.9kg,31.82,50.76,54.9,-
2026-05-03,蒲郡,第1R,3号艇,4442 / B1 松竹 大輔 愛知/愛知 39歳/52.2kg,38.30,54.61,52.2,-
2026-05-03,蒲郡,第1R,6号艇,4786 / A1 佐藤 博亮 愛知/愛知 38歳/52.6kg,41.95,59.20,52.6,-
2026-05-03,蒲郡,第1R,1号艇,5262 / B1 鈴木 章司 愛知/愛知 28歳/53.1kg,38.86,58.55,53.1,-
2026-05-03,蒲郡,第1R,5号艇,3776 / B1 横井 健太 愛知/愛知 50歳/57.2kg,35.04,50.36,57.2,-
2026-05-03,蒲郡,第2R,3号艇,4604 / A1 岩瀬 裕亮 愛知/愛知 37歳/52.0kg,33.71,54.29,52.0,-
2026-05-03,蒲郡,第2R,4号艇,5082 / B1 一色 凌雅 愛知/愛知 27歳/57.3kg,33.33,48.43,57.3,-
2026-05-03,蒲郡,第2R,1号艇,5127 / B1 沼田 大都 愛知/広島 29歳/51.0kg,35.71,49.29,51.0,-
2026-05-03,蒲郡,第3R,4号艇,4306 / A2 畔柳 俊吾 愛知/愛知 42歳/52.0kg,30.82,51.57,52.0,-
2026-05-03,蒲郡,第3R,5号艇,4035 / B1 杉江 浩明 愛知/愛知 47歳/51.5kg,34.83,58.43,51.5,-
2026-05-03,蒲郡,第3R,2号艇,4483 / A1 北野 輝季 愛知/愛知 37歳/52.5kg,38.29,53.14,52.5,-
2026-05-03,蒲郡,第4R,6号艇,4074 / A1 柳沢 一 愛知/愛知 45歳/52.0kg,36.67,52.22,52.0,-
2026-05-03,蒲郡,第4R,4号艇,4989 / A2 石原 翼 静岡/静岡 28歳/52.0kg,45.51,61.80,52.0,-
2026-05-03,蒲郡,第4R,2号艇,5441 / B2 鈴木 雄登 愛知/愛知 20歳/50.0kg,37.74,53.46,50.0,-
2026-05-03,蒲郡,第4R,5号艇,3967 / B1 鈴木 茂高 愛知/愛知 46歳/56.5kg,40.88,61.33,56.5,-
2026-05-03,蒲郡,第5R,5号艇,4293 / A2 鈴木 智啓 愛知/愛知 40歳/58.5kg,30.43,42.75,58.5,-
2026-05-03,蒲郡,第5R,3号艇,5137 / B1 川原 涼 愛知/愛知 26歳/53.2kg,34.94,52.41,53.2,-
2026-05-03,蒲郡,第5R,1号艇,3455 / B1 谷本 幸司 愛知/愛知 55歳/51.5kg,34.08,48.04,51.5,-
2026-05-03,蒲郡,第5R,2号艇,3713 / A2 伊藤 誠二 愛知/愛知 51歳/52.5kg,32.03,43.79,52.5,-
2026-05-03,蒲郡,第6R,4号艇,4681 / B1 太田 潮 愛知/愛知 35歳/52.0kg,39.20,56.25,52.0,-
2026-05-03,蒲郡,第6R,1号艇,4084 / A1 杉山 正樹 愛知/愛知 46歳/52.0kg,39.77,60.23,52.0,-
2026-05-03,蒲郡,第6R,2号艇,3776 / B1 横井 健太 愛知/愛知 50歳/57.2kg,35.04,50.36,57.2,-
2026-05-03,蒲郡,第6R,6号艇,4910 / A1 中村 泰平 愛知/愛知 30歳/51.0kg,28.22,45.40,51.0,-
2026-05-03,蒲郡,第7R,3号艇,5061 / B1 中村 駿平 愛知/愛知 28歳/52.2kg,33.14,48.84,52.2,-
2026-05-03,蒲郡,第7R,2号艇,4409 / A2 坂元 浩仁 愛知/愛知 40歳/53.5kg,33.33,52.29,53.5,-
