date,stadium,race_no,combo,odds,target,local_3ren,st,course,kimarite,motor,boat,racer_rank,odds,wind_speed,is_headwind,is_tailwind,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate
2026-08-18,三国,1,1-5-4,67.2,0,45.77333333333333,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,67.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,1,1-5-6,132.2,0,44.25333333333333,0.17,30.0,35.0,30.0,30.0,2.0,132.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,1,1-6-3,150.2,0,47.57333333333333,0.15333333333333332,30.0,35.0,30.0,30.0,2.0,150.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,1,1-6-4,188.9,0,45.15,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,188.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-2-3,6.9,0,36.446666666666665,0.15000000000000002,30.0,35.0,30.0,30.0,2.0,6.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-1-3,22.8,0,36.446666666666665,0.15000000000000002,30.0,35.0,30.0,30.0,2.0,22.8,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-1-2,37.7,0,36.446666666666665,0.15,30.0,35.0,30.0,30.0,2.0,37.7,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,4-1-2,124.1,0,30.526666666666667,0.15333333333333335,30.0,35.0,30.0,30.0,2.0,124.1,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-1-2,77.2,0,35.41,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,77.2,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,1-2-4,19.9,0,30.526666666666667,0.15333333333333335,30.0,35.0,30.0,30.0,2.0,19.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,2-1-4,49.0,0,30.526666666666667,0.15333333333333335,30.0,35.0,30.0,30.0,2.0,49.0,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,3-1-4,65.1,0,29.77333333333333,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,65.1,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,4-1-3,150.9,0,29.77333333333333,0.16333333333333333,30.0,35.0,30.0,30.0,2.0,150.9,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
2026-08-18,三国,2,5-1-3,93.1,0,34.656666666666666,0.17333333333333334,30.0,35.0,30.0,30.0,2.0,93.1,0.0,0,0,6.8,6.8,0.0,0.45,5.0,30.0
