date,stadium,rno,combo,local_3ren,st,course,kimarite,motor,boat,racer_rank,exh_time,turn_time,water_type,in_rate,national_win_rate,national_2nd_rate,wind_speed,is_headwind,is_tailwind,grade_score,is_rough_sign,target
2026-09-05,1,1,4-5-1,36.13,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-4-1,36.13,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
2026-09-05,1,1,6-4-1,45.35666666666666,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,0
2026-09-05,1,1,1-5-3,40.64,0.1833333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,3.1,1,0,1,0,0
2026-09-05,1,1,2-5-3,32.47,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,3.2,1,0,1,0,0
2026-09-05,1,1,3-5-2,32.470000000000006,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,3.3,1,0,1,0,0
2026-09-05,1,1,4-5-2,27.960000000000004,0.1766666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-4-2,27.960000000000004,0.1766666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
2026-09-05,1,1,6-4-2,37.18666666666667,0.17,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.06,0.5,5.5,35.0,3.6,1,0,1,0,0
2026-09-05,1,1,1-5-4,36.13,0.18,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.01,0.5,5.5,35.0,3.1,1,0,1,0,0
2026-09-05,1,1,2-5-4,27.96,0.1766666666666666,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.02,0.5,5.5,35.0,3.2,1,0,1,0,0
2026-09-05,1,1,3-5-4,35.73666666666667,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.03,0.5,5.5,35.0,3.3,1,0,1,0,0
2026-09-05,1,1,4-5-3,35.73666666666667,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.04,0.5,5.5,35.0,3.4,1,0,1,0,0
2026-09-05,1,1,5-4-3,35.73666666666667,0.1733333333333333,35.0,37.0,35.0,35.0,2.0,6.75,6.75,0.05,0.5,5.5,35.0,3.5,1,0,1,0,0
